ID,PARENT_ID,ROLE_NAME
93,76,DB_PCDW_DST_RW
93,75,DB_PCDW_DST_RW
94,74,DB_PCDW_DST_RW
94,73,DB_PCDW_DST_RW
94,78,DB_PCDW_DST_RW
94,77,DB_PCDW_DST_RW
94,76,DB_PCDW_DST_RW
94,75,DB_PCDW_DST_RW
95,75,DB_PCDW_DST_RW
95,78,DB_PCDW_DST_RW
95,77,DB_PCDW_DST_RW
95,73,DB_PCDW_DST_RW
95,74,DB_PCDW_DST_RW
95,76,DB_PCDW_DST_RW
96,76,DB_PCDW_DST_RW
96,74,DB_PCDW_DST_RW
96,77,DB_PCDW_DST_RW
96,73,DB_PCDW_DST_RW
96,75,DB_PCDW_DST_RW
96,78,DB_PCDW_DST_RW
97,1,DB_PCDW_DST_RW
98,76,DB_PCDW_DST_RW
98,74,DB_PCDW_DST_RW
98,75,DB_PCDW_DST_RW
98,77,DB_PCDW_DST_RW
98,73,DB_PCDW_DST_RW
98,78,DB_PCDW_DST_RW
99,123,DB_PCDW_DST_RW
100,116,DB_PCDW_WORKDAY_DB_FA
100,115,DB_PCDW_WORKDAY_DB_FA
101,116,DB_PCDW_WORKDAY_DB_FA
101,115,DB_PCDW_WORKDAY_DB_FA
102,1,DB_PCDW_WORKDAY_DB_FA
103,123,DB_PCDW_WORKDAY_DB_FA
104,108,DB_PCDW_WORKDAY_DB_RO
104,111,DB_PCDW_WORKDAY_DB_RO
104,109,DB_PCDW_WORKDAY_DB_RO
104,110,DB_PCDW_WORKDAY_DB_RO
105,108,DB_PCDW_WORKDAY_DB_RO
105,109,DB_PCDW_WORKDAY_DB_RO
105,110,DB_PCDW_WORKDAY_DB_RO
105,111,DB_PCDW_WORKDAY_DB_RO
106,109,DB_PCDW_WORKDAY_DB_RO
106,110,DB_PCDW_WORKDAY_DB_RO
106,111,DB_PCDW_WORKDAY_DB_RO
106,108,DB_PCDW_WORKDAY_DB_RO
107,109,DB_PCDW_WORKDAY_DB_RO
107,111,DB_PCDW_WORKDAY_DB_RO
107,108,DB_PCDW_WORKDAY_DB_RO
107,110,DB_PCDW_WORKDAY_DB_RO
108,103,DB_PCDW_WORKDAY_DB_RW
108,102,DB_PCDW_WORKDAY_DB_RW
108,101,DB_PCDW_WORKDAY_DB_RW
108,100,DB_PCDW_WORKDAY_DB_RW
109,103,DB_PCDW_WORKDAY_DB_RW
109,102,DB_PCDW_WORKDAY_DB_RW
